Offence,"Apr' 18  to
March '19",Percentage of total
Murder,593,84.6%
Manslaughter3,96,13.7%
Corporate manslaughter,9,1.3%
Infanticide,3,0.4%
"Homicide 3, 4, 5, 6, 7",701,
Causing death or serious injury by dangerous driving 8,579,
Causing death by careless driving when under the influence of drink or drugs                                                                               ,21,
Causing death by careless or inconsiderate driving,120,
Causing death by driving: unlicensed or disqualified or uninsured drivers ,8,
Causing death by aggravated vehicle taking,15,
Death or serious injury - unlawful driving,743,
