UTLCCode,MaleHLE,FemaleHLE
Barking and Dagenham,59.8,58.5
Barnet,68.5,69.1
Barnsley,57,57.4
Bath and North East Somerset,65,66.7
Bedford,65.6,62.5
Bexley,66.1,64.2
Birmingham,58.4,59.4
Blackburn with Darwen,58,60.3
Blackpool,56.4,59
Bolton,62.4,59.8
Bournemouth,62.6,65.7
Bracknell Forest,68.4,69.3
Bradford,62.9,60.5
Brent,64.2,65.3
Brighton and Hove,62.4,61.3
"Bristol, City of",59.7,64.5
Bromley,68.5,69.5
Buckinghamshire,69.6,70.1
Bury,60.6,62.1
Calderdale,63.4,65.7
Cambridgeshire,65.7,67.3
Camden,63.7,65.1
Central Bedfordshire,64.7,63.1
Cheshire East,65.5,64.7
Cheshire West and Chester,65.4,66.7
Cornwall,64.6,64.3
County Durham,58,57
Coventry,62.9,63.8
Croydon,63.1,63.8
Cumbria,62.6,64.7
Darlington,61.8,61.3
Derby,60.9,59.6
Derbyshire,63.5,63.8
Devon,65.3,66.5
Doncaster,59.7,61
Dorset,68,65.2
Dudley,60.7,62.7
Ealing,64.1,61.1
East Riding of Yorkshire,62.9,65.8
East Sussex,64.1,65.7
Enfield,68.4,66
Essex,65.8,64
Gateshead,57,59.1
Gloucestershire,66.2,66.2
Greenwich,61.3,61.6
Hackney,57.7,58.7
Halton,60,59.6
Hammersmith and Fulham,62.5,60.6
Hampshire,67.2,67.2
Haringey,65,60.5
Harrow,69.2,70
Hartlepool,57,55.2
Havering,65.8,64.8
"Herefordshire, County of",67.9,68.2
Hertfordshire,64.3,67.4
Hillingdon,66.9,62.4
Hounslow,63,61.8
Isle of Wight,63.2,63
Islington,60.7,61.6
Kensington and Chelsea,67.4,67.4
Kent,63.8,65.5
"Kingston upon Hull, City of",56.3,55.4
Kingston upon Thames,67.9,68.6
Kirklees,60.8,62.4
Knowsley,59.1,59
Lambeth,59.4,63
Lancashire,61.8,63.6
Leeds,61.2,62.1
Leicester,59.1,60
Leicestershire,63.6,65.8
Lewisham,60.9,62.1
Lincolnshire,62.9,63.7
Liverpool,57.4,57.7
Luton,62.1,61.3
Manchester,55.6,55.6
Medway,61.8,59.7
Merton,63.2,66.2
Middlesbrough,58.8,59.8
Milton Keynes,64.1,64.5
Newcastle upon Tyne,59,61.1
Newham,60.5,60.5
Norfolk,64.5,65.4
North East Lincolnshire,60.8,58
North Lincolnshire,62.1,64.4
North Somerset,66.1,66.3
North Tyneside,60.9,62.3
North Yorkshire,67.3,68.4
Northamptonshire,65.5,67
Northumberland,63.9,64.2
Nottingham,56.7,57.2
Nottinghamshire,61.1,62.2
Oldham,60.3,58.6
Oxfordshire,68.7,70.3
Peterborough,61.8,62.4
Plymouth,59.2,60
Poole,66.2,67.4
Portsmouth,61.5,61.3
Reading,66.4,65.6
Redbridge,62.8,63.1
Redcar and Cleveland,59.1,61.5
Richmond upon Thames,68.7,71.1
Rochdale,59.2,58.9
Rotherham,58.7,58
Rutland,71.1,70.6
Salford,58.3,59.4
Sandwell,57.7,59.7
Sefton,61.2,63
Sheffield,59,59.9
Shropshire,64.7,65.7
Slough,60.3,57.7
Solihull,63.8,67.9
Somerset,65.4,67.4
South Gloucestershire,66,65.5
South Tyneside,56.8,57.9
Southampton,60.9,63.2
Southend-on-Sea,61.5,65.9
Southwark,61.2,60.1
St. Helens,59.4,60.8
Staffordshire,64.4,63.8
Stockport,65,65.9
Stockton-on-Tees,61,62.3
Stoke-on-Trent,60.2,59.6
Suffolk,65.1,66.7
Sunderland,58.8,60.1
Surrey,68.6,68.8
Sutton,63.2,66.8
Swindon,64.1,61.6
Tameside,56.4,58.8
Telford and Wrekin,59.5,58.5
Thurrock,63.9,63.8
Torbay,63.1,62.9
Tower Hamlets,54,52.4
Trafford,62.9,65.1
Wakefield,58.6,60.5
Walsall,58.1,59
Waltham Forest,59.6,60.2
Wandsworth,62.6,67.5
Warrington,65.4,64
Warwickshire,68,67.6
West Berkshire,68.7,69.8
West Sussex,64.6,66.6
Westminster,64.5,65.5
Wigan,59.3,61.1
Wiltshire,64.8,66.8
Windsor and Maidenhead,69.3,69.9
Wirral,61.1,61.7
Wokingham,70.6,70.8
Wolverhampton,56.4,59.5
Worcestershire,65.6,67.7
York,65.9,65.7
