AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7
Hartlepool,E06000001,7.48,7.32,7.48,7.66,7.56,7.56,7.49
Middlesbrough,E06000002,7.41,7.39,7.41,7.53,7.71,7.64,7.63
Redcar and Cleveland,E06000003,7.45,7.53,7.57,7.6,7.63,7.62,7.72
Stockton-on-Tees,E06000004,7.54,7.53,7.6,7.7,7.61,7.72,7.79
Darlington,E06000005,7.5,7.46,7.59,7.68,7.62,7.61,7.74
Halton,E06000006,7.43,7.39,7.37,7.57,7.61,7.56,7.64
Warrington,E06000007,7.52,7.51,7.53,7.69,7.62,7.83,7.86
Blackburn with Darwen,E06000008,7.11,7.27,7.26,7.54,7.59,7.54,7.78
Blackpool,E06000009,7.13,7.34,7.38,7.31,7.45,7.46,7.46
"Kingston upon Hull, City of",E06000010,7.42,7.34,7.34,7.44,7.48,7.56,7.64
East Riding of Yorkshire,E06000011,7.56,7.63,7.67,7.7,7.79,7.93,7.88
North East Lincolnshire,E06000012,7.47,7.36,7.46,7.51,7.65,7.6,7.74
North Lincolnshire,E06000013,7.47,7.46,7.56,7.68,7.62,7.8,7.77
York,E06000014,7.57,7.66,7.6,7.69,7.82,7.77,7.74
Derby ,E06000015,7.24,7.42,7.37,7.45,7.54,7.47,7.63
Leicester,E06000016,7.45,7.4,7.39,7.5,7.43,7.51,7.44
Rutland ,E06000017,7.82,7.73,7.83,7.85,7.8,7.96,7.87
Nottingham,E06000018,7.46,7.42,7.42,7.36,7.35,7.38,7.42
"Herefordshire, County of",E06000019,7.55,7.52,7.57,7.64,7.71,7.73,7.84
Telford and Wrekin,E06000020,7.47,7.44,7.47,7.64,7.59,7.68,7.61
Stoke-on-Trent,E06000021,7.29,7.2,7.31,7.49,7.52,7.6,7.64
Bath and North East Somerset,E06000022,7.71,7.68,7.63,7.76,7.78,7.78,7.67
"Bristol, City of",E06000023,7.26,7.34,7.17,7.42,7.45,7.63,7.52
North Somerset,E06000024,7.53,7.38,7.58,7.59,7.66,7.64,7.6
South Gloucestershire,E06000025,7.31,7.53,7.61,7.65,7.72,7.64,7.81
Plymouth,E06000026,7.53,7.49,7.48,7.54,7.72,7.78,7.76
Torbay,E06000027,7.23,7.35,7.33,7.45,7.68,7.72,7.58
Bournemouth,E06000028,7.39,7.5,7.19,7.35,7.48,7.5,7.55
Poole,E06000029,7.55,7.49,7.51,7.59,7.64,7.72,7.65
Swindon,E06000030,7.49,7.48,7.41,7.48,7.66,7.75,7.71
Peterborough,E06000031,7.28,7.41,7.28,7.53,7.56,7.61,7.58
Luton,E06000032,7.12,7.32,7.28,7.46,7.56,7.63,7.71
Southend-on-Sea,E06000033,7.34,7.33,7.37,7.48,7.64,7.62,7.63
Thurrock,E06000034,7.18,7.32,7.36,7.48,7.55,7.65,7.59
Medway,E06000035,7.22,7.29,7.49,7.48,7.48,7.58,7.63
Bracknell Forest,E06000036,7.46,7.46,7.56,7.57,7.69,7.78,7.82
West Berkshire,E06000037,7.49,7.57,7.67,7.84,7.87,7.88,7.85
Reading,E06000038,7.33,7.38,7.5,7.61,7.6,7.66,7.67
Slough,E06000039,7.26,7.33,7.26,7.38,7.42,7.54,7.55
Windsor and Maidenhead,E06000040,7.64,7.6,7.71,7.68,7.83,7.75,7.75
Wokingham,E06000041,7.54,7.77,7.63,7.77,7.73,7.93,7.98
Milton Keynes,E06000042,7.38,7.41,7.44,7.48,7.53,7.68,7.64
Brighton and Hove,E06000043,7.54,7.42,7.52,7.62,7.52,7.57,7.51
Portsmouth,E06000044,7.41,7.38,7.47,7.61,7.8,7.74,7.73
Southampton,E06000045,7.4,7.38,7.5,7.6,7.61,7.6,7.73
Isle of Wight,E06000046,7.51,7.38,7.64,7.63,7.72,7.74,7.85
County Durham,E06000047,7.52,7.3,7.49,7.69,7.62,7.65,7.8
Cheshire East,E06000049,7.63,7.56,7.5,7.83,7.85,7.56,7.8
Cheshire West and Chester,E06000050,7.5,7.44,7.52,7.71,7.6,7.84,7.88
Shropshire,E06000051,7.62,7.59,7.61,7.77,7.73,7.77,7.72
Cornwall,E06000052,7.73,7.65,7.73,7.7,7.78,7.82,7.91
Isles of Scilly,E06000053,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wiltshire,E06000054,7.59,7.65,7.67,7.72,7.83,7.77,7.78
Bedford,E06000055,7.29,7.34,7.55,7.61,7.54,7.65,7.92
Central Bedfordshire,E06000056,7.57,7.64,7.51,7.65,7.7,7.9,7.77
Northumberland,E06000057,7.49,7.54,7.59,7.63,7.76,7.51,7.63
Aylesbury Vale,E07000004,7.55,7.61,7.49,7.78,7.9,7.85,7.65
Chiltern,E07000005,7.51,7.51,7.63,8.02,7.98,8.01,7.69
South Bucks,E07000006,7.48,7.69,7.77,7.91,7.82,7.82,7.79
Wycombe,E07000007,7.42,7.48,7.45,7.59,7.77,7.85,7.95
Cambridge,E07000008,7.2,7.46,7.52,7.73,7.36,7.44,7.68
East Cambridgeshire,E07000009,7.25,7.84,7.66,7.88,7.67,7.45,7.36
Fenland,E07000010,7.19,7.25,7.84,7.67,7.61,7.84,7.46
Huntingdonshire,E07000011,7.62,7.41,7.83,7.75,7.51,7.81,7.7
South Cambridgeshire,E07000012,7.47,7.51,7.54,7.94,7.68,7.55,7.92
Allerdale,E07000026,7.88,7.68,7.81,8.14,7.82,7.74,7.9
Barrow-in-Furness,E07000027,7.28,7.38,7.38,7.43,7.68,7.77,7.53
Carlisle,E07000028,7.65,7.6,7.69,7.64,7.6,7.76,7.54
Copeland,E07000029,7.81,7.73,7.85,8.04,7.49,8.08,8.24
Eden,E07000030,7.83,7.78,7.89,7.95,7.99,7.87,8.15
South Lakeland,E07000031,7.67,7.75,7.76,8.07,7.87,7.88,7.62
Amber Valley,E07000032,7.68,7.67,7.59,7.79,8.13,7.93,7.73
Bolsover,E07000033,7.62,7.52,7.54,6.95,7.88,7.84,8.5
Chesterfield,E07000034,7.55,7.38,7.75,7.77,7.82,7.53,7.85
Derbyshire Dales,E07000035,7.51,7.23,7.67,8.06,8.23,7.64,7.72
Erewash,E07000036,7.26,7.39,7.31,7.62,7.88,8.03,7.82
High Peak,E07000037,7.43,7.32,7.51,7.68,7.81,7.72,7.56
North East Derbyshire,E07000038,7.5,7.67,7.55,7.42,7.64,7.96,7.88
South Derbyshire,E07000039,7.53,7.62,7.94,7.91,7.76,7.83,7.8
East Devon,E07000040,7.52,7.68,7.9,7.95,7.83,8.03,7.9
Exeter,E07000041,7.64,7.79,7.76,7.95,7.88,7.54,7.86
Mid Devon,E07000042,7.33,7.3,7.64,7.96,7.96,7.86,7.9
North Devon,E07000043,7.66,7.85,7.66,7.93,7.96,8.13,8.13
