date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c,series4,series4a,series4b,series4c
Jun-08,89,21,9,4.178571429,29,11,4.714285714,2.18877551,50,8,3.428571429,1.591836735,24,5,2.142857143,0.994897959
Dec-08,70,18,7.714285714,3.581632653,29,11,4.714285714,2.18877551,43,8,3.428571429,1.591836735,22,6,2.571428571,1.193877551
Jun-09,59,18,7.714285714,3.581632653,30,9,3.857142857,1.790816327,43,7,3,1.392857143,15,3,1.285714286,0.596938776
Dec-09,59,14,6,2.785714286,29,7,3,1.392857143,41,7,3,1.392857143,13,3,1.285714286,0.596938776
Mar-10,63,14,6,2.785714286,30,7,3,1.392857143,38,7,3,1.392857143,13,3,1.285714286,0.596938776
Jun-10,66,15,6.428571429,2.984693878,29,7,3,1.392857143,35,6,2.571428571,1.193877551,14,3,1.285714286,0.596938776
Sep-10,68,16,6.857142857,3.183673469,33,8,3.428571429,1.591836735,35,5,2.142857143,0.994897959,14,3,1.285714286,0.596938776
Dec-10,57,13,5.571428571,2.586734694,35,9,3.857142857,1.790816327,35,5,2.142857143,0.994897959,18,4,1.714285714,0.795918367
Mar-11,51,13,5.571428571,2.586734694,33,9,3.857142857,1.790816327,36,6,2.571428571,1.193877551,15,4,1.714285714,0.795918367
Jun-11,54,12,5.142857143,2.387755102,36,10,4.285714286,1.989795918,36,6,2.571428571,1.193877551,14,4,1.714285714,0.795918367
Sep-11,51,10,4.285714286,1.989795918,33,9,3.857142857,1.790816327,37,6,2.571428571,1.193877551,14,3,1.285714286,0.596938776
Dec-11,56,10,4.285714286,1.989795918,37,9,3.857142857,1.790816327,37,6,2.571428571,1.193877551,10,3,1.285714286,0.596938776
Mar-12,58,11,4.714285714,2.18877551,32,8,3.428571429,1.591836735,36,6,2.571428571,1.193877551,12,3,1.285714286,0.596938776
Jun-12,50,10,4.285714286,1.989795918,33,7,3,1.392857143,36,6,2.571428571,1.193877551,12,3,1.285714286,0.596938776
Sep-12,51,10,4.285714286,1.989795918,38,9,3.857142857,1.790816327,32,5,2.142857143,0.994897959,13,5,2.142857143,0.994897959
Dec-12,56,10,4.285714286,1.989795918,39,10,4.285714286,1.989795918,31,5,2.142857143,0.994897959,13,5,2.142857143,0.994897959
Mar-13,57,10,4.285714286,1.989795918,47,11,4.714285714,2.18877551,32,6,2.571428571,1.193877551,12,5,2.142857143,0.994897959
Jun-13,67,13,5.571428571,2.586734694,51,12,5.142857143,2.387755102,31,6,2.571428571,1.193877551,11,5,2.142857143,0.994897959
Sep-13,80,15,6.428571429,2.984693878,48,9,3.857142857,1.790816327,32,5,2.142857143,0.994897959,10,4,1.714285714,0.795918367
Dec-13,76,15,6.428571429,2.984693878,50,9,3.857142857,1.790816327,33,5,2.142857143,0.994897959,11,4,1.714285714,0.795918367
Mar-14,79,16,6.857142857,3.183673469,55,10,4.285714286,1.989795918,37,6,2.571428571,1.193877551,11,3,1.285714286,0.596938776
Jun-14,79,14,6,2.785714286,59,11,4.714285714,2.18877551,43,6,2.571428571,1.193877551,12,4,1.714285714,0.795918367
Sep-14,82,15,6.428571429,2.984693878,61,11,4.714285714,2.18877551,52,10,4.285714286,1.989795918,13,4,1.714285714,0.795918367
Dec-14,92,16,6.857142857,3.183673469,63,12,5.142857143,2.387755102,55,11,4.714285714,2.18877551,12,4,1.714285714,0.795918367
Mar-15,99,16,6.857142857,3.183673469,63,11,4.714285714,2.18877551,52,8,3.428571429,1.591836735,13,4,1.714285714,0.795918367
Jun-15,102,17,7.285714286,3.382653061,61,10,4.285714286,1.989795918,54,9,3.857142857,1.790816327,13,4,1.714285714,0.795918367
Sep-15,95,15,6.428571429,2.984693878,69,11,4.714285714,2.18877551,50,8,3.428571429,1.591836735,18,6,2.571428571,1.193877551
Dec-15,100,15,6.428571429,2.984693878,77,14,6,2.785714286,51,9,3.857142857,1.790816327,22,7,3,1.392857143
Mar-16,102,16,6.857142857,3.183673469,76,14,6,2.785714286,51,8,3.428571429,1.591836735,21,6,2.571428571,1.193877551
Jun-16,108,17,7.285714286,3.382653061,82,15,6.428571429,2.984693878,51,7,3,1.392857143,24,7,3,1.392857143
Sep-16,113,17,7.285714286,3.382653061,67,15,6.428571429,2.984693878,49,8,3.428571429,1.591836735,18,5,2.142857143,0.994897959
Dec-16,105,16,6.857142857,3.183673469,55,12,5.142857143,2.387755102,48,7,3,1.392857143,18,6,2.571428571,1.193877551
Mar-17,110,17,7.285714286,3.382653061,47,10,4.285714286,1.989795918,52,9,3.857142857,1.790816327,19,6,2.571428571,1.193877551
Jun-17,109,18,7.714285714,3.581632653,35,9,3.857142857,1.790816327,49,9,3.857142857,1.790816327,16,5,2.142857143,0.994897959
Sep-17,110,18,7.714285714,3.581632653,37,9,3.857142857,1.790816327,61,11,4.714285714,2.18877551,22,7,3,1.392857143
Dec-17,106,19,8.142857143,3.780612245,38,10,4.285714286,1.989795918,69,12,5.142857143,2.387755102,22,8,3.428571429,1.591836735
Mar-18,89,17,7.285714286,3.382653061,39,12,5.142857143,2.387755102,65,11,4.714285714,2.18877551,23,9,3.857142857,1.790816327
Jun-18,77,16,6.857142857,3.183673469,37,11,4.714285714,2.18877551,68,11,4.714285714,2.18877551,22,9,3.857142857,1.790816327
