AREACD,AREANM,persistentpoverty,povertyrate
AL,Albania,null,null
AT,Austria,9.1,14.4
BE,Belgium,10.8,15.9
BA,Bosnia and Herzegovina,null,null
BG,Bulgaria,15.9,23.4
HR,Croatia,15.2,20
CY,Cyprus,6.6,15.7
CZ,Czechia,4.4,9.1
DK,Denmark,5.5,12.4
EE,Estonia,16.1,21
FI,Finland,6,11.5
FR,France,8,13.3
DE,Germany,11.6,16.1
EL,Greece,14,20.2
HU,Hungary,5.8,13.4
IS,Iceland,null,null
IE,Ireland,9.3,15.6
IT,Italy,13.9,20.3
LV,Latvia,14.9,22.1
LT,Lithuania,16.1,22.9
LU,Luxembourg,10.1,18.7
MT,Malta,10.7,16.7
ME,Montenegro,null,null
NL,Netherlands,5.6,13.2
NO,Norway,5.2,12.3
PL,Poland,9.1,15
PT,Portugal,14.2,18.3
RO,Romania,19.1,23.6
RS,Serbia,18.4,25.7
SK,Slovakia,null,12.4
SI,Slovenia,8.2,13.3
ES,Spain,14.7,21.6
SE,Sweden,7.1,15.8
CH,Switzerland,null,null
MK,North Macedonia,15.2,22.2
TR,Turkey,14.9,22.2
UK,United Kingdom,7.8,17
