date,series1,series1a,series1b,series1c,Visas,NINos
Dec-08,66,10,4,2,113,287
Mar-09,62.5,9,4,2,110,308
Jun-09,59,8,3,2,103,291
Sep-09,56.5,8,3,2,93,292
Dec-09,54,8,3,2,85,304
Mar-10,51,7,3,1,80,298
Jun-10,48,7,3,1,80,319
Sep-10,49,6,3,1,83,327
Dec-10,52,7,3,1,81,340
Mar-11,51,7,3,1,81,344
Jun-11,50,7,3,1,77,332
Sep-11,51,7,3,1,72,326
Dec-11,47,7,3,1,72,298
Mar-12,48,7,3,1,70,250
Jun-12,48,7,3,1,68,226
Sep-12,45,7,3,1,64,193
Dec-12,44,7,3,1,59,176
Mar-13,44,7,3,1,54,176
Jun-13,42,7,3,1,55,174
Sep-13,42,7,3,1,58,176
Dec-13,44,7,3,1,59,177
Mar-14,48,6,3,1,60,163
Jun-14,55,7,3,1,62,144
Sep-14,66,11,5,2,64,161
Dec-14,67,12,5,2,67,176
Mar-15,65,9,4,2,72,193
Jun-15,67,10,4,2,74,218
Sep-15,68,10,4,2,79,206
Dec-15,73,11,5,2,82,197
Mar-16,72,10,4,2,82,195
Jun-16,74,10,4,2,80,193
Sep-16,68,9,4,2,76,195
Dec-16,66,9,4,2,73,198
Mar-17,71,11,5,2,72,191
Jun-17,65,10,4,2,73,194
Sep-17,83,13,6,3,76,192
Dec-17,90,14,6,3,77,185
Mar-18,88,14,6,3,78,192
Jun-18,91,14,6,3,79,194
Sep-18,84,14,6,3,81,196
Dec-18,78,13,6,3,83,213
