date,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use
1996,192095,66386,2809756,86173,93795,823296,1991946,923706,398508,463727,462955,101600,687515,673927,696449,543446,374485,219265,175737,null
1997,200045,69054,2828523,80011,114998,846165,2078627,935635,433630,517004,457088,104456,666985,730419,686368,541443,390811,225758,180548,null
1998,201904,66103,2882861,73219,117270,1012310,2081509,893673,573327,509968,497527,103077,684480,855789,676147,519859,453803,227564,209842,null
1999,194637,64795,2836149,70464,117128,1017719,2099931,877290,652226,538598,521426,111563,726091,917935,691634,594313,466527,244979,243277,null
2000,177339,60294,2771845,64912,112870,1073525,2139339,882575,652788,585842,526688,120989,745047,952141,700093,584139,495964,268661,277203,null
2001,164751,60735,2676923,66153,117304,1060168,2139418,913452,679420,639642,506683,123101,799380,1011491,706544,623578,518875,289677,282750,null
2002,175462,56657,2534489,67026,112850,1095686,2172021,909991,721655,653067,543566,125253,812612,1023695,712533,626831,526574,298031,292583,11043
2003,159889,51391,2448932,57310,112601,1067186,2219475,892485,751524,680819,550779,133492,809912,1063648,735619,639979,565259,293846,278349,17048
2004,167243,47566,2318518,53544,112566,1091812,2227889,882452,786281,677005,512767,134808,866519,1082178,723427,676266,611930,303548,268795,18726
2005,181131,44875,2228770,50238,119373,1139180,2260008,947747,782537,679492,519861,152619,893463,1147587,722959,657843,649086,313365,278910,15805
2006,168546,46068,2142614,47869,121660,1173174,2263020,978959,807503,681983,543290,175869,945346,1183211,727362,657503,676311,314273,274360,18009
2007,173243,51630,2088848,58004,124903,1189341,2318203,992053,813093,669306,524372,183721,991969,1240722,720286,666011,667141,312363,286102,15735
2008,156245,50342,2045029,57636,130421,1189623,2377417,1005526,839070,705296,544657,196728,1003170,1292821,705220,700814,681767,325581,269482,18635
2009,169359,50092,1933870,71810,122319,1251280,2275836,972465,838140,719446,552628,191348,1047545,1210471,670310,762540,738713,314101,255888,10843
2010,141601,45828,1829447,88688,121087,1083038,2220073,935612,887058,675875,512865,195422,1037509,1219234,669537,762497,765226,301730,259803,7856
2011,150842,47859,1833671,88216,138478,1030902,2238559,967172,828158,709622,539545,189955,1063695,1242507,637057,758703,772074,325291,254915,12440
2012,159369,52280,1844207,80366,138078,1009481,2285257,957051,890017,703060,539718,199037,1042083,1258889,590074,757558,798404,328837,253628,6495
2013,129855,53116,1802065,85349,139044,1010286,2290167,956016,888493,726292,530307,202307,1150427,1267358,580024,763081,782300,328183,232038,8001
2014,155115,49271,1844104,81082,140577,1022729,2263656,950047,942718,787373,521262,212066,1211540,1345447,575512,764709,787927,339159,228391,7734
2015,163305,52917,1858522,85913,141722,1071810,2364971,995761,977937,809869,534550,215143,1272674,1446465,562563,794015,808059,340980,265347,7107
2016,155240,45857,1847991,93033,143570,1082576,2345718,1062211,1001683,826340,531002,215311,1323298,1465836,549889,791890,811308,361644,256441,12596
2017,160102,43695,1880197,98053,151987,1140725,2368427,1087559,1036076,852685,537481,217471,1369358,1483796,548261,801393,847487,375785,230139,6719
2018,153630,42088,1901118,101059,156566,1182824,2387370,1031284,1049499,896799,531459,229290,1318787,1477930,558024,779944,839783,371208,243880,8482
2019,132092,42400,1920248,92535,176674,1197296,2421111,1069085,1030514,972153,537942,229873,1340498,1447873,573719,772515,864926,384268,251481,6645
